Appl_Type,Appl_No,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date
N,20610,1,7625884,"Aug 24, 2026",,,U-141,,
N,18613,1,7560445,"Feb 1, 2027",Y,Y,U-986,,
N,19734,2,8455524,"Apr 18, 2027",,,U-1029,,"Jun 27, 2013"
N,19734,5,8455524,"Apr 18, 2027",,,U-1029,,
N,20832,7,7422388,"Apr 25, 2027",,Y,U-1397,,
N,20835,5,7192938,"May 6, 2023",,,U-353,,
N,20845,2,8431163,"Jun 30, 2029",,,U-1286,,"May 1, 2013"
N,20845,3,8282966,"Jun 30, 2029",,,U-1286,,
N,20845,3,8293284,"Jun 30, 2029",,,U-1286,,
N,20850,2,8003679,"Oct 6, 2022",,,U-1176,,"Sep 9, 2011"
N,20908,2,7018992,"Sep 17, 2022",,,U-1023,,
N,21038,2,8455527,"Jan 4, 2032",,,U-421,,
N,21038,3,8455527,"Jan 4, 2032",,,U-421,,
N,21400,3,8273876,"Jul 23, 2027",,,U-1288,,
N,21453,1,7135465,"Feb 18, 2023",,Y,U-167,,
N,21453,4,7135465,"Feb 18, 2023",,Y,U-167,,
N,21454,1,7608606,"Apr 21, 2023",,,U-1009,,
N,21454,1,7608608,"Apr 21, 2023",,,U-1009,,
N,21454,1,7608610,"Apr 21, 2023",,,U-1009,,
N,21454,1,8063029,"Apr 21, 2023",,,U-843,,"Dec 8, 2011"
N,21455,2,7192938,"May 6, 2023",,,U-798,,
N,21455,2,7718634,"May 6, 2023",,,U-642,,
N,21528,1,8008338,"May 24, 2027",Y,Y,U-1181,,"Sep 23, 2011"
N,21528,1,8377982,"May 28, 2024",,,U-1363,,"Mar 18, 2013"
N,21539,1,8399445,"Aug 24, 2025",,,U-1373,,"Mar 28, 2013"
N,21551,3,7291324,"Oct 22, 2022",,,U-837,,
N,21572,2,8003673,"Sep 4, 2028",,,U-1180,,"Sep 23, 2011"
N,21610,1,7276250,"Feb 4, 2023",,Y,U-826,,
N,21176,1,7229613,"Apr 17, 2022",,,U-851,,
N,21223,2,8324189,"May 29, 2025",,,U-1308,,"Dec 21, 2012"
N,21223,3,8324189,"May 29, 2025",,,U-1308,,"Dec 21, 2012"
N,21301,6,7101569,"Oct 2, 2023",,,U-759,,
N,21301,8,7101569,"Oct 2, 2023",,,U-759,,
N,21301,10,7101569,"Oct 2, 2023",,,U-759,,
N,21398,1,7320976,"Apr 19, 2022",,,U-849,,
N,21398,1,8133890,"Apr 19, 2022",,,U-1235,,"Apr 2, 2012"
N,21610,6,7276250,"Feb 4, 2023",,Y,U-826,,
N,21633,2,7572779,"Oct 2, 2025",,,U-904,,
N,208351,1,9296769,"Aug 15, 2032",Y,Y,U-257,,"Apr 19, 2016"
N,22406,1,7157456,"Aug 28, 2024",Y,Y,U-1302,,"Aug 4, 2011"
N,21660,1,8034375,"Aug 13, 2026",,,U-1290,,"Oct 24, 2012"
N,21660,1,8314156,"Dec 9, 2023",,,U-1290,,"Nov 28, 2012"
N,21669,1,7595021,"May 12, 2023",,Y,U-1022,,
N,21669,1,7935093,"Oct 2, 2027",,Y,U-1022,,"May 24, 2011"
N,21688,1,7829595,"Sep 22, 2026",,Y,U-1098,,"Dec 2, 2010"
N,21688,2,7829595,"Sep 22, 2026",,Y,U-1098,,
N,202880,1,9326982,"Jul 25, 2033",,,U-1810,,"May 4, 2016"
N,21710,1,6977253,"May 19, 2024",,,U-693,,
N,21710,2,6977253,"May 19, 2024",,,U-693,,
N,202880,3,9326982,"Jul 25, 2033",,,U-1810,,"May 4, 2016"
N,202880,4,9326982,"Jul 25, 2033",,,U-1810,,"May 4, 2016"
N,202880,5,9326982,"Jul 25, 2033",,,U-1810,,"May 4, 2016"
N,21695,5,9314447,"May 31, 2033",,Y,U-1447,,"May 2, 2016"
N,208251,1,8932610,"Mar 24, 2030",,Y,U-1578,,"May 9, 2016"
N,22350,2,RE44186,"Jul 31, 2023",Y,Y,U-995,,
N,200678,3,RE44186,"Jul 31, 2023",Y,Y,U-1838,,"May 24, 2013"
N,22350,1,RE44186,"Jul 31, 2023",Y,Y,U-1837,,"May 24, 2013"
N,22350,1,RE44186,"Jul 31, 2023",Y,Y,U-995,,"May 24, 2013"
N,200678,1,RE44186,"Jul 31, 2023",Y,Y,U-1838,,"May 24, 2013"
N,200678,1,RE44186,"Jul 31, 2023",Y,Y,U-1097,,"May 24, 2013"
N,202611,1,RE44872,"Nov 4, 2023",,,U-1527,,"Jul 16, 2014"
N,21753,1,7834060,"Mar 12, 2023",,,U-1078,,"Nov 19, 2010"
N,21758,1,7794738,"Sep 11, 2022",,,U-1084,,
N,21777,1,7829121,"Nov 14, 2023",,,U-1088,,
N,21778,1,7101576,"Apr 22, 2024",,,U-755,,
N,21789,1,7348317,"Feb 21, 2022",,Y,U-743,,
N,21817,1,8052987,"Oct 27, 2023",,,U-1199,,
N,21829,1,8246979,"Sep 1, 2027",,Y,U-1272,,"Sep 11, 2012"
N,21829,4,8246979,"Sep 1, 2027",,Y,U-1272,,
N,21829,5,8246979,"Sep 1, 2027",,Y,U-1273,,
N,21829,6,8246979,"Sep 1, 2027",,Y,U-1273,,
N,21840,1,7615545,"Jun 15, 2023",,,U-1,,
N,21856,2,8372872,"Sep 8, 2031",,,U-1346,,
N,21861,1,8399508,"Sep 17, 2022",,,U-726,,"Mar 26, 2013"
N,21862,1,7834059,"Jan 31, 2027",,,U-1095,,"Nov 30, 2010"
N,21879,1,8227484,"Jul 17, 2023",,,U-1093,,"Aug 1, 2012"
N,21897,1,7919499,"Oct 15, 2029",,,U-1124,,"May 16, 2011"
N,21897,1,7919499,"Oct 15, 2029",,,U-1123,,"May 16, 2011"
N,21902,1,7858662,"Oct 2, 2026",,Y,U-172,,"Aug 3, 2011"
N,22108,2,7569610,"Jun 27, 2026",,,U-997,,
N,22110,1,6635618,"Sep 11, 2023",Y,Y,U-728,,
N,22118,2,8124125,"Oct 1, 2024",,Y,U-1234,,
N,22128,2,7368460,"Nov 25, 2022",,,U-824,,
N,22154,1,7858594,"Sep 11, 2023",Y,Y,U-999,,
N,22184,1,8309605,"Mar 16, 2025",,,U-1293,,"Nov 16, 2012"
N,22202,1,7884095,"Feb 24, 2029",,,U-1111,,"Feb 22, 2011"
N,22202,1,8110606,"Feb 24, 2029",,,U-980,,"Feb 13, 2012"
N,22244,1,6204257,"Jul 1, 2022",Y,Y,U-945,,
N,22249,2,8445524,"Mar 26, 2029",Y,Y,U-1402,,"Jun 4, 2013"
N,22252,1,8153616,"Jan 30, 2028",,,U-1240,,"May 9, 2012"
N,22256,1,7994220,"Sep 19, 2029",,,U-819,,"Sep 1, 2011"
N,22256,2,7994220,"Sep 19, 2029",,,U-819,,
N,22256,3,7994220,"Sep 19, 2029",,,U-819,,
N,22256,4,7994220,"Sep 19, 2029",,,U-819,,
N,22262,1,7615545,"Jun 15, 2023",,,U-1,,
N,22271,1,7807689,"Jun 27, 2028",Y,Y,U-1337,,
N,22271,3,7807689,"Jun 27, 2028",Y,Y,U-1337,,
N,203510,2,8859623,"Nov 14, 2033",,,U-1594,,"Oct 17, 2014"
N,22273,1,7148207,"Dec 20, 2022",,Y,U-944,,
N,22287,1,8173158,"Mar 17, 2030",,,U-951,,"Jun 1, 2012"
N,22287,1,8173158,"Mar 17, 2030",,,U-949,,"Jun 1, 2012"
N,22287,2,8173158,"Mar 17, 2030",,,U-951,,
N,22287,2,8173158,"Mar 17, 2030",,,U-950,,
N,22287,2,8173158,"Mar 17, 2030",,,U-949,,
N,203093,1,7635704,"Oct 26, 2026",Y,Y,U-257,,"Oct 17, 2014"
N,203093,2,7635704,"Oct 26, 2026",Y,Y,U-257,,"Oct 17, 2014"
N,201699,1,8859510,"Jul 31, 2027",,,U-319,,"Nov 5, 2014"
N,22511,1,8858996,"May 31, 2022",,Y,U-1052,,"Oct 29, 2014"
N,22511,2,8852636,"May 31, 2022",,Y,U-1052,,"Oct 29, 2014"
N,50819,2,8288434,"Aug 5, 2029",,Y,U-818,,"Dec 3, 2014"
N,50819,2,8288434,"Aug 5, 2029",,Y,U-124,,"Dec 3, 2014"
N,22249,4,8791270,"Jan 12, 2026",,Y,U-1542,,"Dec 9, 2014"
N,22569,1,8889176,"Jan 16, 2024",,,U-767,,"Dec 12, 2014"
N,50819,2,8288434,"Aug 5, 2029",,Y,U-134,,"Dec 3, 2014"
N,203565,1,8895612,"Jan 8, 2027",,,U-1620,,"Dec 17, 2014"
N,22304,2,7994364,"Jun 27, 2025",Y,Y,U-931,,
N,22304,3,RE39593,"Aug 5, 2022",Y,Y,U-931,,"Jul 21, 2011"
N,22309,2,8466137,"Oct 12, 2026",,,U-1103,,"Jun 24, 2013"
N,22311,1,7897590,"Jul 22, 2023",,,U-936,,"Mar 22, 2011"
N,22315,1,8034366,"Jan 9, 2023",,Y,U-1205,,"Dec 23, 2011"
N,22320,1,7964202,"Sep 1, 2024",,Y,U-1078,,"Jun 23, 2011"
N,22320,1,8080537,"Jul 18, 2027",,,U-1078,,"Dec 21, 2011"
N,22320,1,8129362,"Jul 18, 2027",,,U-1078,,"Apr 4, 2012"
N,22328,1,7658945,"Apr 15, 2027",,Y,U-1194,,"Nov 29, 2011"
N,22352,1,7619004,"Dec 3, 2028",,,U-1020,,
N,22352,1,7820681,"Feb 17, 2029",,,U-1020,,
N,22352,1,7915269,"Feb 17, 2029",,,U-1007,,
N,22352,1,7964647,"Oct 6, 2028",,,U-1007,,"Jun 24, 2011"
N,22352,1,8093297,"Oct 6, 2028",,,U-1161,,"Jan 13, 2012"
N,22352,1,8097655,"Oct 6, 2028",,,U-1020,,"Jan 27, 2012"
N,22352,1,8415396,"Oct 6, 2028",,,U-1007,,"May 8, 2013"
N,22352,1,8440722,"Feb 17, 2029",,,U-1020,,"Jun 10, 2013"
N,21908,1,7064148,"Aug 30, 2022",,,U-1404,,
N,21908,1,8097653,"Nov 14, 2022",,,U-1394,,"Jan 18, 2012"
N,21908,1,8097653,"Nov 14, 2022",,,U-1214,,"Jan 18, 2012"
N,21908,1,8389542,"Nov 14, 2022",,Y,U-1345,,"Feb 22, 2013"
N,21908,2,7064148,"Aug 30, 2022",,,U-873,,
N,21910,1,7300674,"Mar 4, 2023",,Y,U-785,,
N,21964,1,8420663,"Sep 30, 2029",,,U-1185,,"Apr 24, 2013"
N,21964,2,8420663,"Sep 30, 2029",,,U-1185,,
N,21964,3,8420663,"Sep 30, 2029",,,U-1185,,
N,21977,1,7659254,"Feb 24, 2023",,,U-1034,,
N,21977,1,7671030,"Feb 24, 2023",,Y,U-727,,
N,21977,1,7723305,"Feb 24, 2023",,Y,U-842,,
N,21977,2,7659254,"Feb 24, 2023",,,U-1034,,
N,21977,2,7671030,"Feb 24, 2023",,Y,U-727,,
N,21977,2,7718619,"Feb 24, 2023",,Y,U-842,,
N,21977,3,7662788,"Feb 24, 2023",,,U-727,,
N,205065,2,8067416,"Nov 17, 2024",,,U-1589,,"Nov 24, 2015"
N,21977,3,7713936,"Feb 24, 2023",,,U-727,,
N,21977,3,7723305,"Feb 24, 2023",,Y,U-842,,
N,21977,4,7659253,"Feb 24, 2023",Y,Y,U-727,,
N,21977,4,7671030,"Feb 24, 2023",,Y,U-727,,"Mar 6, 2012"
N,207533,2,9452131,"Mar 19, 2035",,,U-2402,,"Oct 5, 2016"
N,203100,1,8633219,"Apr 30, 2030",,Y,U-257,,"Jan 24, 2014"
N,207533,3,9452131,"Mar 19, 2035",,,U-2402,,"Oct 5, 2016"
N,21977,4,7718619,"Feb 24, 2023",,Y,U-842,,"Mar 6, 2012"
N,21977,4,7723305,"Feb 24, 2023",,Y,U-842,,"Mar 6, 2012"
N,202834,1,6949571,"Jun 8, 2023",Y,Y,U-2429,,"Nov 19, 2012"
N,21977,5,7659253,"Feb 24, 2023",Y,Y,U-727,,
N,21977,5,7659254,"Feb 24, 2023",,,U-1034,,
N,21977,5,7662788,"Feb 24, 2023",,,U-727,,
N,21977,5,7671030,"Feb 24, 2023",,Y,U-727,,
N,202834,1,6949571,"Jun 8, 2023",Y,Y,U-2428,,"Nov 19, 2012"
N,202834,2,6949571,"Jun 8, 2023",Y,Y,U-2088,,"Nov 19, 2012"
N,202834,2,6949571,"Jun 8, 2023",Y,Y,U-2089,,"Nov 19, 2012"
N,21977,5,7713936,"Feb 24, 2023",,,U-727,,
N,21977,5,7718619,"Feb 24, 2023",,Y,U-842,,
N,21977,5,7723305,"Feb 24, 2023",,Y,U-842,,
N,21977,6,7659253,"Feb 24, 2023",Y,Y,U-727,,
N,21977,6,7659254,"Feb 24, 2023",,,U-1034,,
N,21977,6,7662788,"Feb 24, 2023",,,U-727,,
N,21977,6,7671030,"Feb 24, 2023",,Y,U-727,,
N,202834,3,6949571,"Jun 8, 2023",Y,Y,U-2088,,"Nov 19, 2012"
N,202834,3,6949571,"Jun 8, 2023",Y,Y,U-106,,"Nov 19, 2012"
N,202834,3,6949571,"Jun 8, 2023",Y,Y,U-2429,,"Nov 19, 2012"
N,202834,3,6949571,"Jun 8, 2023",Y,Y,U-2428,,"Nov 19, 2012"
N,21977,6,7713936,"Feb 24, 2023",,,U-727,,
N,21977,6,7718619,"Feb 24, 2023",,Y,U-842,,
N,202834,4,6949571,"Jun 8, 2023",Y,Y,U-2428,,"Nov 19, 2012"
N,202834,4,6949571,"Jun 8, 2023",Y,Y,U-2089,,"Nov 19, 2012"
N,211288,1,8623883,"May 5, 2025",,,U-1403,,"Oct 25, 2018"
N,209305,1,10098910,"Apr 21, 2035",,Y,U-2205,,"Oct 25, 2018"
N,211288,3,8623883,"May 5, 2025",,,U-1403,,"Oct 25, 2018"
N,210365,1,9956186,"Jun 17, 2035",,,U-2426,,"Oct 25, 2018"
N,202834,5,6949571,"Jun 8, 2023",Y,Y,U-2428,,"Nov 19, 2012"
N,202834,5,6949571,"Jun 8, 2023",Y,Y,U-2088,,"Nov 19, 2012"
N,202834,5,6949571,"Jun 8, 2023",Y,Y,U-2429,,"Nov 19, 2012"
N,202834,5,6949571,"Jun 8, 2023",Y,Y,U-2089,,"Nov 19, 2012"
N,210365,1,10092525,"Jun 17, 2035",,,U-2427,,"Oct 25, 2018"
N,210365,1,9956183,"Jun 17, 2035",,,U-2422,,"Oct 25, 2018"
N,210365,1,9949937,"Jun 17, 2035",,,U-2421,,"Oct 25, 2018"
N,202834,6,6949571,"Jun 8, 2023",Y,Y,U-2088,,"Nov 19, 2012"
N,202834,6,6949571,"Jun 8, 2023",Y,Y,U-2089,,"Nov 19, 2012"
N,202834,6,6949571,"Jun 8, 2023",Y,Y,U-106,,"Nov 19, 2012"
N,208276,1,9713599,"Dec 16, 2024",,,U-2036,,"Nov 2, 2018"
N,208276,3,9713599,"Dec 16, 2024",,,U-2036,,"Nov 2, 2018"
N,21991,1,7851509,"Feb 21, 2024",,Y,U-892,,"Dec 15, 2010"
N,21991,1,8067472,"Mar 4, 2023",,,U-892,,"Dec 15, 2011"
N,21995,1,7125873,"Jul 26, 2022",,,U-1037,,
N,21995,2,6699871,"Jul 26, 2022",Y,Y,U-774,,
N,205065,2,7566714,"Nov 17, 2024",,,U-1589,,"Nov 24, 2015"
N,21995,2,7125873,"Jul 26, 2022",,,U-1038,,
N,206073,1,9173859,"May 4, 2027",,Y,U-1772,Y,"Dec 2, 2015"
N,203634,1,9192581,"Sep 7, 2031",,Y,U-1325,,"Dec 3, 2015"
N,21995,3,7125873,"Jul 26, 2022",,,U-1038,,
N,207533,3,9193685,"Oct 24, 2033",,Y,U-543,,"Dec 9, 2015"
N,22011,1,7589079,"Sep 11, 2023",Y,Y,U-999,,
N,22011,1,7858594,"Sep 11, 2023",Y,Y,U-999,,
N,22012,1,7268156,"Jun 27, 2023",Y,Y,U-3,,
N,22012,2,7268156,"Jun 27, 2023",Y,Y,U-313,,
N,22012,3,7268156,"Jun 27, 2023",Y,Y,U-3,,
N,22012,4,7268156,"Jun 27, 2023",Y,Y,U-313,,
N,22020,1,7550153,"Sep 30, 2024",,,U-859,,
N,22030,1,8088398,"Jun 7, 2027",,Y,U-913,,
N,207533,1,9193685,"Oct 24, 2033",,Y,U-543,,"Dec 9, 2015"
N,22044,1,7125873,"Jul 26, 2022",,Y,U-1036,,
N,22044,1,8414921,"Jul 21, 2028",,Y,U-1036,,"Apr 9, 2013"
N,22044,2,7125873,"Jul 26, 2022",,Y,U-803,,
N,22048,1,8211880,"Mar 10, 2029",,,U-1258,,"Aug 6, 2012"
N,22065,1,6670384,"Jan 23, 2022",,Y,U-960,,
N,22065,1,7312237,"Aug 21, 2024",,,U-965,,
N,22065,1,RE41393,"Feb 8, 2022",,,U-961,,
N,22065,2,7022330,"Jan 23, 2022",,Y,U-958,,
N,22065,2,7312237,"Aug 21, 2024",,,U-965,,
N,22067,1,7799331,"Oct 11, 2028",,Y,U-1068,,"Apr 16, 2012"
N,22067,2,7799331,"Oct 11, 2028",,Y,U-139,,
N,22369,1,8038988,"Aug 25, 2023",Y,Y,U-1208,,"Oct 31, 2011"
N,22370,2,7858118,"Apr 11, 2022",,Y,U-1104,,
N,22372,1,6946149,"Mar 7, 2023",,Y,U-837,,
N,22399,2,8114909,"Apr 11, 2026",,,U-1231,,
N,22404,1,7651698,"Sep 11, 2022",,,U-1051,,
N,22410,2,8475832,"Mar 26, 2030",,Y,U-1411,,
N,22411,1,7829120,"Mar 27, 2027",,Y,U-796,,"Dec 6, 2010"
N,22418,1,7569612,"Aug 20, 2027",,,U-1000,,
N,22418,1,7741374,"Aug 20, 2027",,,U-1061,,
N,22418,2,7741373,"Aug 20, 2027",,,U-1059,,
N,22418,2,7741374,"Aug 20, 2027",,,U-1061,,
N,22418,2,7915247,"Aug 20, 2027",,,U-1000,,
N,22425,1,8410167,"Apr 16, 2029",,,U-1387,,"Apr 30, 2013"
N,22426,1,8173663,"Mar 15, 2025",,,U-1338,,
N,22426,2,8173663,"Mar 15, 2025",,,U-1338,,
N,22426,3,8173663,"Mar 15, 2025",,,U-1338,,
N,22426,4,7807689,"Jun 27, 2028",Y,Y,U-1337,,
N,22426,4,8173663,"Mar 15, 2025",,,U-1338,,
N,22426,5,8173663,"Mar 15, 2025",,,U-1338,,
N,22426,6,7807689,"Jun 27, 2028",Y,Y,U-1337,,
N,22426,6,8173663,"Mar 15, 2025",,,U-1338,,
N,22430,1,8022106,"Mar 4, 2025",,,U-1182,,"Sep 20, 2011"
N,22430,1,8273795,"Mar 4, 2025",,,U-1182,,"Sep 25, 2012"
N,22434,1,7687516,"Sep 26, 2027",,Y,U-1164,,"Jul 20, 2011"
N,22468,1,6028071,"Jul 16, 2022",Y,Y,U-1004,,
N,22468,1,8299078,"May 31, 2025",,,U-1004,,"Dec 19, 2012"
N,22468,2,6028071,"Jul 16, 2022",Y,Y,U-1004,,
N,22468,2,7622470,"May 31, 2025",,,U-1015,,
N,22468,2,8299078,"May 31, 2025",,,U-1004,,
N,22483,1,8236816,"Dec 11, 2029",,,U-68,,"Aug 8, 2012"
N,22483,2,8222270,"Dec 11, 2029",,,U-68,,"Jul 18, 2012"
N,22502,1,7998467,"May 31, 2028",,Y,U-1078,,"Aug 19, 2011"
N,22519,1,8067451,"Jul 18, 2026",,Y,U-1196,,"Nov 30, 2011"
N,22544,1,8192756,"Oct 25, 2022",,Y,U-1114,,"Jun 8, 2012"
N,22544,1,8333992,"Oct 25, 2022",,Y,U-1114,,"Jan 17, 2013"
N,22544,2,7438927,"Feb 26, 2024",,,U-1114,,
N,22567,1,7834020,"Jun 5, 2022",Y,Y,U-839,,"Jan 25, 2011"
N,22567,1,8236804,"Jun 5, 2022",,,U-839,,"Aug 14, 2012"
N,22567,3,7834020,"Jun 5, 2022",Y,Y,U-839,,
N,22571,1,7638552,"Aug 20, 2023",,,U-1076,,
N,50684,1,8133883,"Apr 14, 2023",,Y,U-282,,"Apr 11, 2012"
N,50684,2,8133883,"Apr 14, 2023",,Y,U-282,,
N,50684,3,8133883,"Apr 14, 2023",,Y,U-282,,
N,50750,1,8133883,"Apr 14, 2023",,Y,U-282,,"Apr 11, 2012"
N,50750,2,6900184,"Apr 14, 2023",,Y,U-282,,
N,50750,2,8133883,"Apr 14, 2023",,Y,U-282,,
N,50750,3,8133883,"Apr 14, 2023",,Y,U-282,,
N,50793,1,6899890,"Apr 27, 2023",,Y,U-137,,
N,50795,2,6958161,"Dec 15, 2022",,Y,U-918,,
N,50795,5,6958161,"Dec 15, 2022",,Y,U-918,,
N,50805,1,8206740,"Dec 24, 2025",,Y,U-925,,
N,50805,1,8394406,"Apr 7, 2024",,Y,U-925,,"Mar 25, 2013"
N,50808,2,7541347,"Apr 2, 2027",,,U-917,,
N,50808,2,7919483,"Mar 7, 2027",,,U-1078,,
N,50808,2,8252776,"Jun 24, 2025",,,U-124,,
N,50808,3,8268804,"Jun 24, 2025",,,U-1078,,
N,50808,4,7790705,"Jun 24, 2025",,,U-1078,,
N,50808,4,8252776,"Jun 24, 2025",,,U-124,,
N,50808,5,7919483,"Mar 7, 2027",,,U-1078,,
N,50808,6,7919483,"Mar 7, 2027",,,U-1078,,
N,50808,7,7790705,"Jun 24, 2025",,,U-1078,,
N,50808,7,8252776,"Jun 24, 2025",,,U-124,,
N,50808,8,8268804,"Jun 24, 2025",,,U-1078,,
N,50818,1,7795316,"Aug 3, 2028",,Y,U-1082,,"Sep 30, 2010"
N,200327,2,8247400,"Feb 10, 2031",,Y,U-282,,
N,200533,1,8309060,"Nov 20, 2023",,Y,U-1178,,"Dec 5, 2012"
N,200533,2,7994364,"Jun 27, 2025",Y,Y,U-1178,,
N,200533,2,8309060,"Nov 20, 2023",,Y,U-1276,,
N,200533,3,7994364,"Jun 27, 2025",Y,Y,U-1276,,
N,200533,3,8309060,"Nov 20, 2023",,Y,U-1276,,
N,200533,3,RE39593,"Aug 5, 2022",Y,Y,U-1276,,
N,200533,4,7994364,"Jun 27, 2025",Y,Y,U-1276,,
N,200533,4,7994364,"Jun 27, 2025",Y,Y,U-1178,,
N,200533,4,8309060,"Nov 20, 2023",,Y,U-1178,,
N,200533,5,8309060,"Nov 20, 2023",,Y,U-1178,,
N,200533,5,RE39593,"Aug 5, 2022",Y,Y,U-1178,,
N,201280,1,8119648,"Aug 12, 2023",,,U-1270,,"Mar 20, 2012"
N,201280,1,8178541,"Aug 12, 2023",,,U-1244,,"Jun 8, 2012"
N,201280,1,8178541,"Aug 12, 2023",,,U-775,,"Jun 8, 2012"
N,201281,1,8119648,"Aug 12, 2023",,,U-802,,"Mar 15, 2012"
N,201699,1,7906489,"Mar 4, 2027",,,U-319,,"Aug 29, 2011"
N,201917,1,8431615,"May 30, 2028",,,U-1398,,"May 29, 2013"
N,201922,1,8268804,"Jun 24, 2025",,,U-124,,"Apr 17, 2013"
N,201922,3,7541347,"Apr 2, 2027",,,U-917,,
N,201922,3,7919483,"Mar 7, 2027",,,U-124,,
N,201922,5,7541347,"Apr 2, 2027",,,U-917,,
N,201922,5,7790705,"Jun 24, 2025",,,U-124,,
N,201922,5,7919483,"Mar 7, 2027",,,U-124,,
N,201922,5,8268804,"Jun 24, 2025",,,U-124,,
N,202020,1,8309124,"Apr 23, 2024",,,U-1292,,"Nov 13, 2012"
N,202020,2,8394407,"Apr 23, 2024",,Y,U-1362,,
N,202020,3,8168218,"Jan 7, 2028",,Y,U-1269,,"Aug 22, 2012"
N,202020,3,8309124,"Apr 23, 2024",,,U-1292,,
N,202057,1,8293728,"Feb 9, 2030",,,U-1287,,
N,202057,1,8314086,"Feb 9, 2030",,,U-1287,,
N,202057,1,8318715,"Feb 9, 2030",,,U-1287,,"Nov 29, 2012"
N,202057,1,8367652,"Feb 9, 2030",,,U-1287,,"Feb 7, 2013"
N,202057,1,8399446,"Feb 9, 2030",,,U-1287,,"Apr 17, 2013"
N,202057,1,8431560,"Feb 9, 2030",,,U-1287,,
N,202100,1,8465765,"Feb 15, 2031",,Y,U-1415,,"Jun 10, 2013"
N,202258,1,7772178,"Nov 11, 2027",,Y,U-1128,,"Jun 10, 2011"
N,22430,1,8487005,"Mar 4, 2025",,Y,U-1182,,"Jul 16, 2013"
N,201444,1,8496973,"Mar 29, 2031",Y,Y,U-1419,,"Aug 2, 2013"
N,204168,1,8481598,"Mar 2, 2031",,,U-839,,"Aug 15, 2013"
N,204168,2,RE43879,"Jan 11, 2026",,,U-839,,"Aug 15, 2013"
N,204168,2,8481598,"Mar 2, 2031",,,U-839,,"Aug 15, 2013"
N,204168,3,8481598,"Mar 2, 2031",,,U-839,,"Aug 15, 2013"
N,21713,1,7053092,"Jan 28, 2022",,,U-839,,
N,22184,1,8586630,"Mar 16, 2025",,,U-1458,,
N,50805,1,8603506,"Apr 5, 2022",,,U-1063,,
N,202123,1,8592397,"Jan 13, 2024",,Y,U-257,,
N,203858,1,8618135,"Mar 7, 2025",,,U-1316,,"Jan 22, 2014"
N,203858,2,8618135,"Mar 7, 2025",,,U-1316,,"Jan 22, 2014"
N,22181,1,RE43797,"Nov 17, 2024",,,U-1156,,"Dec 3, 2012"
N,22399,2,8686034,"Jan 24, 2025",,,U-1231,,"Apr 28, 2014"
N,21992,1,6673838,"Mar 1, 2022",Y,,U-860,,
N,21992,2,6673838,"Mar 1, 2022",Y,,U-1364,,
N,22287,1,6664276,"Jan 30, 2023",Y,Y,U-951,,
N,22287,2,6664276,"Jan 30, 2023",Y,Y,U-1507,,
N,22287,2,6664276,"Jan 30, 2023",Y,Y,U-950,,
N,205382,1,8183257,"Jul 27, 2025",,,U-1476,,"May 21, 2014"
N,202100,1,8778390,"Feb 15, 2031",,Y,U-1543,,"Aug 4, 2014"
N,22321,4,8685443,"Jul 3, 2025",,,U-1508,,
N,22321,5,8685443,"Jul 3, 2025",,,U-1508,,
N,22399,2,8686034,"Jan 24, 2025",,,U-1247,,"Apr 28, 2014"
N,22421,3,8679533,"Sep 8, 2029",,Y,U-219,,"Mar 25, 2014"
N,206256,1,6888027,"Aug 10, 2026",Y,Y,U-1544,,"Aug 1, 2014"
N,22421,4,8679533,"Sep 8, 2029",,Y,U-219,,"Mar 25, 2014"
N,22430,1,8791160,"Mar 4, 2025",,Y,U-1182,,"Aug 25, 2014"
N,22399,1,8795725,"Jun 10, 2029",,Y,U-1231,,"Aug 27, 2014"
N,22399,2,8795725,"Jun 10, 2029",,Y,U-1231,,"Aug 27, 2014"
N,205437,3,8802717,"Mar 19, 2023",,,U-1561,,"Aug 29, 2014"
N,20845,2,8776795,"Jan 6, 2031",,Y,U-1226,,"Jul 23, 2014"
N,22272,3,8309060,"Nov 20, 2023",,Y,U-1556,,"Nov 14, 2012"
N,22272,4,8309060,"Nov 20, 2023",,Y,U-1556,,"Nov 14, 2012"
N,22272,6,8309060,"Nov 20, 2023",,Y,U-1556,,"Nov 14, 2012"
N,204569,3,7951797,"Nov 20, 2029",Y,Y,U-620,,"Sep 10, 2014"
N,202270,1,6699871,"Jul 26, 2022",Y,Y,U-1227,,
N,202270,1,7125873,"Jul 26, 2022",,Y,U-1227,,
N,202270,2,6699871,"Jul 26, 2022",Y,Y,U-1227,,
N,202270,2,7125873,"Jul 26, 2022",,Y,U-1227,,
N,202270,3,6699871,"Jul 26, 2022",Y,Y,U-1227,,
N,202270,3,7125873,"Jul 26, 2022",,Y,U-1227,,
N,202278,1,7973058,"Apr 12, 2027",,,U-1328,,"Feb 15, 2013"
N,202278,1,8155737,"Apr 12, 2027",,,U-1328,,"Feb 15, 2013"
N,202278,1,8366600,"Apr 21, 2029",,,U-1327,,"Feb 15, 2013"
N,202278,1,8470853,"Apr 12, 2027",,,U-1328,,"Jul 11, 2013"
N,202331,1,7572920,"Jan 7, 2025",,Y,U-3,,"Jan 17, 2012"
