Appl_Type,Appl_No,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Delist_Flag,Submission_Date
N,21361,1,10703763,"Feb 27, 2026",,,U-1708,,"Jul 14, 2020"
N,21361,1,10703763,"Feb 27, 2026",,,U-2848,,"Jul 14, 2020"
N,21361,1,10703763,"Feb 27, 2026",,,U-2847,,"Jul 14, 2020"
N,212520,1,8357714,"Aug 26, 2031",,,U-2849,,"Jul 14, 2020"
N,212520,1,9867808,"Aug 26, 2031",,,U-2849,,"Jul 14, 2020"
N,210563,1,10695350,"Oct 24, 2034",,,U-2846,,"Jul 13, 2020"
N,210563,2,10695350,"Oct 24, 2034",,,U-2846,,"Jul 13, 2020"
N,210563,3,10695350,"Oct 24, 2034",,,U-2846,,"Jul 13, 2020"
N,210563,4,10695350,"Oct 24, 2034",,,U-2846,,"Jul 13, 2020"
N,201023,1,10716777,"Oct 27, 2030",,,U-2856,,"Jul 21, 2020"
N,22387,1,10716793,"May 14, 2027",,,U-1849,,"Jul 21, 2020"
N,202514,1,10864159,"May 28, 2029",,Y,U-778,,"Jan 8, 2021"
N,208623,1,10925866,"Apr 28, 2028",,,U-2371,,"Mar 18, 2021"
N,202057,1,11154526,"Apr 29, 2030",,,U-3240,,"Nov 8, 2021"
N,202057,2,11154526,"Apr 29, 2030",,,U-3240,,"Nov 8, 2021"
N,213246,1,10137124,"Oct 10, 2037",,,U-2827,,"Jun 5, 2020"
N,213246,1,10137124,"Oct 10, 2037",,,U-2826,,"Jun 5, 2020"
N,213246,1,10137124,"Oct 10, 2037",,,U-2828,,"Jun 5, 2020"
N,213246,1,10172851,"Oct 10, 2037",,,U-2826,,"Jun 5, 2020"
N,213246,1,10172851,"Oct 10, 2037",,,U-2827,,"Jun 5, 2020"
N,213246,1,10172851,"Oct 10, 2037",,,U-2828,,"Jun 5, 2020"
N,213246,1,10584124,"Oct 10, 2038",Y,,U-2828,,"Jun 5, 2020"
N,213246,1,10584124,"Oct 10, 2038",Y,,U-2826,,"Jun 5, 2020"
N,213246,1,10584124,"Oct 10, 2038",Y,,U-2827,,"Jun 5, 2020"
N,213246,2,10172851,"Oct 10, 2037",,,U-2828,,"Jun 5, 2020"
N,213246,2,10172851,"Oct 10, 2037",,,U-2827,,"Jun 5, 2020"
N,213246,2,10172851,"Oct 10, 2037",,,U-2826,,"Jun 5, 2020"
N,213246,2,10137124,"Oct 10, 2037",,,U-2828,,"Jun 5, 2020"
N,213246,2,10137124,"Oct 10, 2037",,,U-2827,,"Jun 5, 2020"
N,213246,2,10137124,"Oct 10, 2037",,,U-2826,,"Jun 5, 2020"
N,213246,2,10584124,"Oct 10, 2038",Y,,U-2826,,"Jun 5, 2020"
N,213246,2,10584124,"Oct 10, 2038",Y,,U-2827,,"Jun 5, 2020"
N,213246,2,10584124,"Oct 10, 2038",Y,,U-2828,,"Jun 5, 2020"
N,208564,1,10668082,"Jun 18, 2033",,,U-2317,,"Jun 10, 2020"
N,208564,1,10668082,"Jun 18, 2033",,,U-2316,,"Jun 10, 2020"
N,208564,2,10668082,"Jun 18, 2033",,,U-2316,,"Jun 10, 2020"
N,208564,2,10668082,"Jun 18, 2033",,,U-2317,,"Jun 10, 2020"
N,210132,1,10675288,"Nov 21, 2032",,,U-2439,,"Jun 10, 2020"
N,212157,1,10799517,"May 27, 2036",,Y,U-2718,,"Oct 28, 2020"
N,212273,1,10793547,"Dec 8, 2037",Y,Y,U-2645,,"Oct 29, 2020"
N,209410,4,8574626,"Nov 28, 2025",,Y,U-20,,"Oct 29, 2020"
N,209410,4,10213393,"Feb 15, 2038",,,U-20,,"Oct 29, 2020"
N,209410,4,10213394,"Feb 15, 2038",,,U-2497,,"Oct 29, 2020"
N,209410,4,10500170,"Feb 15, 2038",,,U-20,,"Oct 29, 2020"
N,209410,4,10500171,"Feb 15, 2038",,,U-2497,,"Oct 29, 2020"
N,209410,4,10512617,"Feb 15, 2038",,,U-2497,,"Oct 29, 2020"
N,209410,4,10500172,"Feb 15, 2038",,,U-2497,,"Oct 29, 2020"
N,206829,1,11278622,"Mar 14, 2034",,,U-3335,,"Apr 11, 2022"
N,206829,1,11278622,"Mar 14, 2034",,,U-3336,,"Apr 11, 2022"
N,209819,1,10592168,"Jun 6, 2031",,,U-2489,,"Mar 19, 2020"
N,209819,2,10592168,"Jun 6, 2031",,,U-2489,,"Mar 19, 2020"
N,208564,1,10568891,"Jun 18, 2033",,,U-2316,,"Mar 19, 2020"
N,208564,1,10568891,"Jun 18, 2033",,,U-2317,,"Mar 19, 2020"
N,208564,2,10568891,"Jun 18, 2033",,,U-2317,,"Mar 19, 2020"
N,208564,2,10568891,"Jun 18, 2033",,,U-2316,,"Mar 19, 2020"
N,202057,1,10568861,"Jun 28, 2033",,,U-2756,,"Mar 20, 2020"
N,202057,2,10568861,"Jun 28, 2033",,,U-2756,,"Mar 20, 2020"
N,22306,1,10512620,"Aug 18, 2038",,,U-2769,,"Mar 26, 2020"
N,209483,1,10588914,"Aug 31, 2030",,Y,U-2771,,"Apr 8, 2020"
N,215515,1,9399775,"Nov 16, 2032",Y,Y,U-3396,,"Jul 13, 2022"
N,215515,1,11286486,"Jul 28, 2036",Y,Y,U-3396,,"Jul 13, 2022"
N,215515,1,10683501,"Jul 28, 2036",Y,Y,U-3396,,"Jul 13, 2022"
N,215515,1,9370581,"Dec 4, 2028",Y,Y,U-3396,,"Jul 13, 2022"
N,215515,1,8828956,"Dec 4, 2028",Y,Y,U-3396,,"Jul 13, 2022"
N,215515,1,10131907,"Aug 24, 2028",Y,Y,U-3396,,"Jul 13, 2022"
N,215515,1,8106022,"Dec 12, 2029",Y,Y,U-3396,,"Jul 13, 2022"
N,215515,1,10612024,"Aug 14, 2035",Y,Y,U-3396,,"Jul 13, 2022"
N,215515,1,10208307,"Jul 28, 2036",Y,Y,U-3396,,"Jul 13, 2022"
N,210365,1,11357741,"Jun 17, 2035",,,U-2862,,"Jul 13, 2022"
N,213690,1,10213512,"Oct 1, 2030",,Y,U-1631,,"Jun 22, 2020"
N,213690,1,8992896,"Oct 1, 2030",,Y,U-1631,,"Jun 22, 2020"
N,213690,1,9675700,"Oct 1, 2030",,Y,U-1631,,"Jun 22, 2020"
N,213690,1,8865139,"Oct 1, 2030",,Y,U-1631,,"Jun 22, 2020"
N,213690,1,10322186,"Oct 1, 2030",,,U-1631,,"Jun 22, 2020"
N,209500,1,10695345,"Aug 30, 2039",,Y,U-543,,"Jul 16, 2020"
N,212295,1,10472365,"Jul 10, 2027",,,U-2968,,"Oct 23, 2020"
N,212295,1,9827251,"Nov 7, 2031",,,U-2968,,"Oct 23, 2020"
N,212295,1,9737547,"Nov 7, 2031",,,U-2968,,"Oct 23, 2020"
N,212295,1,10052334,"Nov 7, 2031",,,U-2968,,"Oct 23, 2020"
N,212295,1,10195210,"Nov 7, 2031",,,U-2968,,"Oct 23, 2020"
N,212295,1,10342800,"Nov 7, 2031",,,U-2968,,"Oct 23, 2020"
N,212295,1,9561236,"Apr 30, 2033",,,U-2968,,"Oct 23, 2020"
